cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles
32768,1,1,1,1,1,63496
32768,1,1,1,0,1,43704
32768,1,1,0,1,1,43704
32768,1,1,0,0,1,43704
32768,1,2,1,1,1,63528
32768,1,2,1,0,1,43704
32768,1,2,0,1,1,43704
32768,1,2,0,0,1,43704
32768,1,4,1,1,1,63392
32768,1,4,1,0,1,43704
32768,1,4,0,1,1,43704
32768,1,4,0,0,1,43704
32768,1,8,1,1,1,61488
32768,1,8,1,0,1,43704
32768,1,8,0,1,1,43704
32768,1,8,0,0,1,43704
32768,1,16,1,1,0.999817,59057
32768,1,16,1,0,1,43704
32768,1,16,0,1,0.999817,43697
32768,1,16,0,0,1,43704
32768,1,32,1,1,0.999817,59089
32768,1,32,1,0,1,43704
32768,1,32,0,1,0.999817,43697
32768,1,32,0,0,1,43704
32768,2,1,1,1,1,63496
32768,2,1,1,0,1,43704
32768,2,1,0,1,1,43704
32768,2,1,0,0,1,43704
32768,2,2,1,1,1,63528
32768,2,2,1,0,1,43704
32768,2,2,0,1,1,43704
32768,2,2,0,0,1,43704
32768,2,4,1,1,1,63392
32768,2,4,1,0,1,43704
32768,2,4,0,1,1,43704
32768,2,4,0,0,1,43704
32768,2,8,1,1,1,61488
32768,2,8,1,0,1,43704
32768,2,8,0,1,1,43704
32768,2,8,0,0,1,43704
32768,2,16,1,1,0.999817,59057
32768,2,16,1,0,1,43704
32768,2,16,0,1,0.999817,43697
32768,2,16,0,0,1,43704
32768,2,32,1,1,0.999817,59089
32768,2,32,1,0,1,43704
32768,2,32,0,1,0.999817,43697
32768,2,32,0,0,1,43704
32768,4,1,1,1,1,63496
32768,4,1,1,0,1,43704
32768,4,1,0,1,1,43704
32768,4,1,0,0,1,43704
32768,4,2,1,1,1,63528
32768,4,2,1,0,1,43704
32768,4,2,0,1,1,43704
32768,4,2,0,0,1,43704
32768,4,4,1,1,1,63392
32768,4,4,1,0,1,43704
32768,4,4,0,1,1,43704
32768,4,4,0,0,1,43704
32768,4,8,1,1,1,61488
32768,4,8,1,0,1,43704
32768,4,8,0,1,1,43704
32768,4,8,0,0,1,43704
32768,4,16,1,1,0.999817,59057
32768,4,16,1,0,1,43704
32768,4,16,0,1,0.999817,43697
32768,4,16,0,0,1,43704
32768,4,32,1,1,0.999817,59089
32768,4,32,1,0,1,43704
32768,4,32,0,1,0.999817,43697
32768,4,32,0,0,1,43704
32768,8,1,1,1,1,63496
32768,8,1,1,0,1,43704
32768,8,1,0,1,1,43704
32768,8,1,0,0,1,43704
32768,8,2,1,1,1,63528
32768,8,2,1,0,1,43704
32768,8,2,0,1,1,43704
32768,8,2,0,0,1,43704
32768,8,4,1,1,1,63392
32768,8,4,1,0,1,43704
32768,8,4,0,1,1,43704
32768,8,4,0,0,1,43704
32768,8,8,1,1,1,61488
32768,8,8,1,0,1,43704
32768,8,8,0,1,1,43704
32768,8,8,0,0,1,43704
32768,8,16,1,1,0.999817,59057
32768,8,16,1,0,1,43704
32768,8,16,0,1,0.999817,43697
32768,8,16,0,0,1,43704
32768,8,32,1,1,0.999817,59089
32768,8,32,1,0,1,43704
32768,8,32,0,1,0.999817,43697
32768,8,32,0,0,1,43704
32768,16,1,1,1,1,63496
32768,16,1,1,0,1,43704
32768,16,1,0,1,1,43704
32768,16,1,0,0,1,43704
32768,16,2,1,1,1,63528
32768,16,2,1,0,1,43704
32768,16,2,0,1,1,43704
32768,16,2,0,0,1,43704
32768,16,4,1,1,1,63392
32768,16,4,1,0,1,43704
32768,16,4,0,1,1,43704
32768,16,4,0,0,1,43704
32768,16,8,1,1,1,62320
32768,16,8,1,0,1,43704
32768,16,8,0,1,1,43704
32768,16,8,0,0,1,43704
32768,16,16,1,1,0.999817,60313
32768,16,16,1,0,1,43704
32768,16,16,0,1,0.999817,43697
32768,16,16,0,0,1,43704
32768,16,32,1,1,0.999817,60337
32768,16,32,1,0,1,43704
32768,16,32,0,1,0.999817,43697
32768,16,32,0,0,1,43704
32768,32,1,1,1,1,63872
32768,32,1,1,0,1,43704
32768,32,1,0,1,1,43704
32768,32,1,0,0,1,43704
32768,32,2,1,1,1,63896
32768,32,2,1,0,1,43704
32768,32,2,0,1,1,43704
32768,32,2,0,0,1,43704
32768,32,4,1,1,1,63768
32768,32,4,1,0,1,43704
32768,32,4,0,1,1,43704
32768,32,4,0,0,1,43704
32768,32,8,1,1,1,63904
32768,32,8,1,0,1,43704
32768,32,8,0,1,1,43704
32768,32,8,0,0,1,43704
32768,32,16,1,1,1,63008
32768,32,16,1,0,1,43704
32768,32,16,0,1,1,43704
32768,32,16,0,0,1,43704
32768,32,32,1,1,1,62960
32768,32,32,1,0,1,43704
32768,32,32,0,1,1,43704
32768,32,32,0,0,1,43704
32768,64,1,1,1,1,64488
32768,64,1,1,0,1,43704
32768,64,1,0,1,1,43704
32768,64,1,0,0,1,43704
32768,64,2,1,1,1,64472
32768,64,2,1,0,1,43704
32768,64,2,0,1,1,43704
32768,64,2,0,0,1,43704
32768,64,4,1,1,1,64496
32768,64,4,1,0,1,43704
32768,64,4,0,1,1,43704
32768,64,4,0,0,1,43704
32768,64,8,1,1,1,64496
32768,64,8,1,0,1,43704
32768,64,8,0,1,1,43704
32768,64,8,0,0,1,43704
32768,64,16,1,1,1,63952
32768,64,16,1,0,1,43704
32768,64,16,0,1,1,43704
32768,64,16,0,0,1,43704
32768,64,32,1,1,1,63944
32768,64,32,1,0,1,43704
32768,64,32,0,1,1,43704
32768,64,32,0,0,1,43704
32768,128,1,1,1,0.863628,56737
32768,128,1,1,0,0.927512,40932
32768,128,1,0,1,0.863628,41329
32768,128,1,0,0,0.927512,40932
32768,128,2,1,1,0.86253,56687
32768,128,2,1,0,0.927512,40932
32768,128,2,0,1,0.86253,41311
32768,128,2,0,0,0.927512,40932
32768,128,4,1,1,0.862713,56686
32768,128,4,1,0,0.927512,40932
32768,128,4,0,1,0.862713,41310
32768,128,4,0,0,0.927512,40932
32768,128,8,1,1,0.862347,56688
32768,128,8,1,0,0.927512,40932
32768,128,8,0,1,0.862347,41312
32768,128,8,0,0,0.927512,40932
32768,128,16,1,1,0.861431,56237
32768,128,16,1,0,0.927146,40918
32768,128,16,0,1,0.861431,41309
32768,128,16,0,0,0.927146,40918
32768,128,32,1,1,0.861431,56245
32768,128,32,1,0,0.927146,40918
32768,128,32,0,1,0.861431,41309
32768,128,32,0,0,0.927146,40918
32768,256,1,1,1,0.694307,47054
32768,256,1,1,0,0.839099,37551
32768,256,1,0,1,0.694307,38398
32768,256,1,0,0,0.839099,37551
32768,256,2,1,1,0.692477,46920
32768,256,2,1,0,0.838001,37509
32768,256,2,0,1,0.692477,38392
32768,256,2,0,0,0.838001,37509
32768,256,4,1,1,0.692111,46946
32768,256,4,1,0,0.838184,37516
32768,256,4,0,1,0.692111,38370
32768,256,4,0,0,0.838184,37516
32768,256,8,1,1,0.691927,46939
32768,256,8,1,0,0.838184,37516
32768,256,8,0,1,0.691927,38363
32768,256,8,0,0,0.838184,37516
32768,256,16,1,1,0.689182,46490
32768,256,16,1,0,0.837269,37481
32768,256,16,0,1,0.689182,38330
32768,256,16,0,0,0.837269,37481
32768,256,32,1,1,0.689548,46568
32768,256,32,1,0,0.837086,37474
32768,256,32,0,1,0.689548,38328
32768,256,32,0,0,0.837086,37474
32768,512,1,1,1,0.411679,30366
32768,512,1,1,0,0.693209,31972
32768,512,1,0,1,0.411679,33630
32768,512,1,0,0,0.693209,31972
32768,512,2,1,1,0.408567,30191
32768,512,2,1,0,0.691927,31923
32768,512,2,0,1,0.408567,33575
32768,512,2,0,0,0.691927,31923
32768,512,4,1,1,0.408201,30209
32768,512,4,1,0,0.691012,31888
32768,512,4,0,1,0.408201,33537
32768,512,4,0,0,0.691012,31888
32768,512,8,1,1,0.407468,30173
32768,512,8,1,0,0.691195,31895
32768,512,8,0,1,0.407468,33509
32768,512,8,0,0,0.691195,31895
32768,512,16,1,1,0.403441,29779
32768,512,16,1,0,0.689548,31832
32768,512,16,0,1,0.403441,33483
32768,512,16,0,0,0.689548,31832
32768,512,32,1,1,0.403624,29770
32768,512,32,1,0,0.689365,31825
32768,512,32,0,1,0.403624,33474
32768,512,32,0,0,0.689365,31825
32768,1024,1,1,1,0.298188,23594
32768,1024,1,1,0,0.634816,29739
32768,1024,1,0,1,0.298188,31794
32768,1024,1,0,0,0.634816,29739
32768,1024,2,1,1,0.292147,23187
32768,1024,2,1,0,0.63445,29725
32768,1024,2,0,1,0.292147,31747
32768,1024,2,0,0,0.63445,29725
32768,1024,4,1,1,0.289401,23058
32768,1024,4,1,0,0.632436,29648
32768,1024,4,0,1,0.289401,31666
32768,1024,4,0,0,0.632436,29648
